Review_ID,Original_Item_Name,Source_Type,Source_File,Possible_SKU_ID,Possible_SKU_Name,Issue,Suggested_Action,User_Decision
"REV001","Bajra Vardhnam -1107 (1.5 Kg*30 Pc)","Credit Note","CN_25-26_converted.xlsx","BAJ002","Bajra Vardhnam 1107 — 1.5 Kg × 30 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV002","Bajra Vardhnam -9090(1.5 Kg*30 Pc)","Credit Note","CN_25-26_converted.xlsx","BAJ003","Bajra Vardhnam 9090 — 1.5 Kg × 30 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV003","Maize (Chanakya 4590) 4 Kg*10 Pc","Credit Note","CN_25-26_converted.xlsx","MAI003","Maize Chanakya 4590 — 4 Kg × 10 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV004","Maize (Chanakya 4590) 4 Kg*8 Pc","Credit Note","CN_25-26_converted.xlsx","MAI004","Maize Chanakya 4590 — 4 Kg × 8 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV005","Maize( Basant Gold 9180) 4 Kg*10 Pc","Credit Note","CN_25-26_converted.xlsx","MAI001","Maize Basant Gold 9180 — 4 Kg × 10 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV006","Mustard VM Lakshmi 1246 (1Kg*30pc)","Credit Note","CN_25-26_converted.xlsx","MUS004","Mustard VM Lakshmi 1246 — 1 Kg × 30 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV007","Mustard VM Nidhi(1 Kg*30 Pc)","Credit Note","CN_25-26_converted.xlsx","MUS005","Mustard VM Nidhi — 1 Kg × 30 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV008","Paddy (Mumtaj 3 Kg*10pc)","Credit Note","CN_25-26_converted.xlsx","PAD012","Paddy Mumtaj — 3 Kg × 10 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV009","Paddy (Sharbati 3 Kg*10 Pc)","Credit Note","CN_25-26_converted.xlsx","PAD021","Paddy Sharbati — 3 Kg × 10 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV010","Paddy Adiyogi(6 Kg*5 Pc)","Credit Note","CN_25-26_converted.xlsx","PAD004","Paddy Adiyogi — 6 Kg × 5 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV011","Paddy Aman Plus (6 Kg*5 Pc)","Credit Note","CN_25-26_converted.xlsx","PAD005","Paddy Aman Plus — 6 Kg × 5 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV012","Paddy Namo 369 (3 Kg* 10 Pc)","Credit Note","CN_25-26_converted.xlsx","PAD013","Paddy Namo 369 — 3 Kg × 10 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV013","Paddy PB 1509 (6 Kg*5 Pc)","Credit Note","CN_25-26_converted.xlsx","PAD015","Paddy PB 1509 — 6 Kg × 5 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV014","Paddy PB 1692 (6 Kg* 5 Pc)","Credit Note","CN_25-26_converted.xlsx","PAD016","Paddy PB 1692 — 6 Kg × 5 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV015","Paddy Sugandha 5 (6 Kg*5 Pc)","Credit Note","CN_25-26_converted.xlsx","PAD022","Paddy Sugandha 5 — 6 Kg × 5 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
